time,tpt
1.747067,18204478.156441
1.749770,18184367.555673
1.752471,18192302.766820
1.755175,18181925.792648
1.757881,18164751.099449
1.760580,18207229.476212
1.763287,18158275.348050
1.765995,18154271.417290
1.768696,18195548.842788
1.771401,18170479.108126
1.774109,18149196.944560
1.776812,18188270.356620
1.779516,18176923.236226
1.782216,18199571.003765
1.784925,18147622.222862
1.787630,18168813.382644
1.790331,18201741.148815
1.793035,18172890.921245
1.795738,18184239.733629
1.798438,18203305.052387
1.801148,18138688.340195
1.803847,18214523.147253
1.806547,18201350.214908
1.809248,18199139.732234
1.811957,18145458.264006
1.814663,18164005.985194
1.817361,18215535.681726
1.820063,18193743.827704
1.822766,18182235.180879
1.825470,18179659.508648
1.828168,18218580.713554
1.830866,18215967.730698
1.833569,18182571.484377
1.836269,18207715.089562
1.838970,18191871.839684
1.841676,18167362.838296
1.844376,18200979.517233
1.847077,18199139.732234
1.849779,18190282.972293
1.852479,18204019.683985
1.855180,18197711.291267
1.857885,18174422.990172
1.860586,18197273.370790
1.863289,18185221.991273
1.865994,18170895.587221
1.868697,18181239.795431
1.871401,18179518.304902
1.874105,18180365.560280
1.876805,18203392.692867
1.879507,18191286.080846
1.882210,18181333.948847
1.884910,18204262.401820
1.887608,18218729.277734
1.890308,18201720.927683
1.893011,18189414.598530
1.895709,18212363.449885
1.898413,18180930.441074
1.901125,18126012.516950
1.903826,18193393.642380
1.906529,18183681.374194
1.909230,18203015.170661
1.911934,18172568.413331
1.914633,18210905.943664
1.917336,18185417.109876
1.920041,18169048.446360
1.922743,18195232.265738
1.925449,18162046.156694
1.928152,18183600.650366
1.930852,18204781.570029
1.933552,18204228.690623
1.936259,18160751.022725
1.938962,18183479.565967
1.941665,18183728.463425
1.944378,18114656.132216
1.947076,18222268.522655
1.949778,18191306.278799
1.952475,18220620.306250
1.955178,18181804.730554
1.957883,18174920.296141
1.960586,18180345.386615
1.963289,18186715.764484
1.965991,18192935.728065
1.968695,18178624.065448
1.971392,18222099.634312
1.974094,18190175.262516
1.976798,18180110.030500
1.979500,18191609.253471
1.982206,18165066.616701
1.984906,18202961.240195
1.987607,18199132.993778
1.990309,18188378.043839
1.993010,18196094.458876
1.995711,18197421.587669
1.998413,18190370.487427
2.001118,18174812.768220
2.003819,18195400.656414
2.006524,18172541.538189
2.009230,18163878.449241
2.011933,18183775.552899
2.014634,18196808.524423
2.017330,18229121.273428
2.020030,18206858.539021
2.022736,18162697.148702
2.025437,18198951.057366
2.028137,18205894.173055
2.030840,18181502.082372
2.033544,18176224.173431
2.036246,18196734.420675
2.038946,18200507.742029
2.041649,18186251.457338
2.044351,18189683.852844
2.047054,18185026.876857
2.049753,18211546.947754
2.052455,18192289.300038
2.055161,18162133.400338
2.057868,18157919.818775
2.060580,18121929.259881
2.063284,18177595.462702
2.065983,18215285.912764
2.068686,18180547.125279
2.071390,18174732.123114
2.074099,18146503.331400
2.076800,18200184.253167
2.079504,18177467.735845
2.082206,18188425.157398
2.084907,18196040.569411
2.087609,18190141.603473
2.090307,18220546.008436
2.093011,18179108.154080
2.095717,18163381.747339
2.098419,18194046.883577
2.101117,18214131.664100
2.103822,18169552.174805
2.106519,18227059.499750
2.109225,18165570.124378
2.111932,18156772.828673
2.114639,18152595.253853
2.117341,18194794.464565
2.120045,18178657.681881
2.122747,18190606.109278
2.125449,18191077.371295
2.128158,18144252.566578
2.130859,18198614.147690
2.133563,18175370.583130
2.136265,18187395.445233
2.138966,18202138.840191
2.141673,18156672.222419
2.144378,18167168.106921
2.147078,18205948.120900
2.149781,18187072.422305
2.152476,18234078.198198
2.155171,18242023.011849
2.157874,18184986.508880
2.160574,18199618.175328
2.163286,18129261.724618
2.165986,18203520.784316
2.168689,18184441.558730
2.171388,18208760.595104
2.174091,18183351.756407
2.176800,18144212.379423
2.179500,18207937.671005
2.182205,18171728.602690
2.184904,18207168.776365
2.187618,18108683.045731
2.190320,18193891.987092
2.193025,18169243.218047
2.195726,18196505.376543
2.198422,18230973.887557
2.201121,18214961.898370
2.203824,18183257.582091
2.206528,18180076.408695
2.209229,18195757.654957
2.211936,18155009.027271
2.214645,18148647.436160
2.217348,18178624.065448
2.220052,18182927.979669
2.222755,18181354.124706
2.225451,18228884.652757
2.228155,18177279.510066
2.230860,18170814.976874
2.233562,18196087.722676
2.236263,18198742.171897
2.238963,18199409.274545
2.241667,18182551.305817
2.244377,18136733.970953
2.247078,18198654.576192
2.249784,18158402.805331
2.252488,18176903.070200
2.255189,18202300.617927
2.257884,18234673.480926
2.260579,18238327.203427
2.263285,18162898.495885
2.265990,18176298.110223
2.268692,18191575.589120
2.271394,18185901.560372
2.274102,18154318.354322
2.276809,18157242.339267
2.279509,18203224.154233
2.282209,18204282.628599
2.284913,18177508.070448
2.287609,18230743.980668
2.290310,18195515.163855
2.293014,18176983.734573
2.295719,18177313.121526
2.298420,18191481.329601
2.301120,18206770.865166
2.303821,18196464.957589
2.306523,18191090.836282
2.309225,18190431.075320
2.311927,18194713.642037
2.314623,18226653.959825
2.317324,18202502.844141
2.320023,18212451.177610
2.322722,18205536.776651
2.325422,18205361.455244
2.328126,18179558.648605
2.330830,18174711.961950
2.333530,18207613.917978
2.336231,18199779.908261
2.338934,18182046.856354
2.341637,18183304.669127
2.344336,18212761.605578
2.347037,18199854.036815
2.349738,18196842.208144
2.352443,18166711.511793
2.355138,18241027.839166
2.357839,18200110.121923
2.360542,18180621.097244
2.363250,18147783.032975
2.365954,18182410.057146
2.368659,18171312.085409
2.371357,18216204.016148
2.374061,18177064.399662
2.376766,18167665.015934
2.379475,18147984.049623
2.382179,18173347.827051
2.384879,18206676.448113
2.387578,18214462.398764
2.390286,18146744.517894
2.392990,18182033.404751
2.395696,18160952.326761
2.398397,18198277.250487
2.401096,18209698.279615
2.403802,18165791.676599
2.406504,18190935.990126
2.409206,18188586.691455
2.411909,18186143.795299
2.414611,18188162.670676
2.417317,18165630.547175
2.420022,18173542.690928
2.422723,18196431.275264
2.425427,18175478.117652
2.428123,18234930.546848
2.430825,18186177.439550
2.433529,18181892.164127
2.436238,18140007.108084
2.438940,18194026.679538
2.441640,18202637.664113
2.444348,18149893.929911
2.447050,18193413.845013
2.449752,18187698.289649
2.452456,18180446.255387
2.455154,18221018.823048
2.457858,18175773.844147
2.460557,18211870.840665
2.463256,18211371.510571
2.465961,18169894.726102
2.468670,18141480.070467
2.471372,18193144.480262
2.474076,18175256.329095
2.476783,18159375.564571
2.479486,18184011.003931
2.482185,18209455.416805
2.484888,18186486.972493
2.487591,18186399.494724
2.490299,18146617.224223
2.492997,18217878.442956
2.495701,18177245.898729
2.498398,18227431.260534
2.501108,18138701.727738
2.503809,18193339.768911
2.506509,18209300.257847
2.509216,18153044.435293
2.511921,18174140.747539
2.514619,18214820.145698
2.517321,18193285.895762
2.520025,18173845.074183
2.522726,18201073.875208
2.525430,18177857.644504
2.528131,18193696.686587
2.530831,18205071.508019
2.533530,18211675.153987
2.536234,18182228.454936
2.538940,18159355.437462
2.541642,18192033.434968
2.544346,18175841.056057
2.547049,18186089.964758
2.549753,18178267.738900
2.552456,18182329.344605
2.555153,18224815.738481
2.557851,18218736.030709
2.560557,18166899.518772
2.563259,18191575.589120
2.565962,18178207.232006
2.568664,18191898.772032
2.571370,18169424.560957
2.574071,18194572.204341
