src_non_pref_nr,delta_hot,cpu_idle,cpu_not_idle,cpu_newly_idle,same_node,prefer_src,prefer_dst,src_len,src_load,dst_load,dst_len,delta_faults,extra_fails,buddy_hot,can_migrate
1,1,1,0,0,1,0,0,323,0.0,0.0,2,0.0,0,0,0
1,1,1,0,0,1,0,0,323,0.0,0.0,0,0.0,0,0,0
1,1,1,0,0,1,0,0,323,0.0,0.0,2,0.0,0,0,0
1,1,1,0,0,1,0,0,323,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,323,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,323,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,323,0.0,0.0,2,0.0,0,0,0
1,1,0,0,1,1,0,0,323,0.0,0.0,0,0.0,1,0,0
1,1,0,0,1,1,0,0,323,0.0,0.0,0,0.0,1,0,0
1,1,0,0,1,1,0,0,323,0.0,0.0,0,0.0,1,0,0
1,1,0,0,1,1,0,0,323,0.0,0.0,0,0.0,1,0,0
1,1,0,0,1,0,0,0,323,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,323,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,323,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,323,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,323,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,323,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,1,1,10,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,152,0.0,0.0,7,0.0,0,0,0
1,1,0,0,1,0,0,0,216,0.0,0.0,73,0.0,0,0,0
1,1,0,0,1,0,0,0,216,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,58,0.0,0.0,4,0.0,0,0,0
1,1,1,0,0,1,0,0,158,0.0,0.0,62,0.0,0,1,0
1,1,0,0,1,1,0,0,615,0.0,0.0,14,0.0,0,0,0
0,1,0,0,1,1,1,1,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,-1,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,0,0,0,-2,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,969,0.0,0.0,0,0.0,0,0,0
0,1,1,0,0,1,1,1,-2,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,19,0.0,0.0,6,0.0,0,0,0
1,1,0,0,1,1,0,0,19,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,1
1,1,1,0,0,1,0,0,21,0.0,0.0,9,0.0,0,0,0
1,1,0,0,1,0,0,0,1,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,1,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,1,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,1,0.0,0.0,0,0.0,0,0,0
1,1,1,0,0,1,0,0,194,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,194,0.0,0.0,63,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,1
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,1
